,datetime,PRCP,SNOW,TMAX,TMIN,TAVG,ride_count
0,2014-04-01,0.0,0.0,60.0,39.0,,14546
1,2014-04-01,0.0,0.0,59.0,39.0,46.0,14546
2,2014-04-01,0.0,0.0,57.0,37.0,46.0,14546
3,2014-04-01,0.0,0.0,57.0,34.0,,14546
4,2014-04-01,0.0,0.0,54.0,36.0,,14546
5,2014-04-01,0.0,0.0,55.0,35.0,,14546
6,2014-04-01,0.15,1.0,49.0,32.0,,14546
7,2014-04-01,0.0,0.0,58.0,34.0,,14546
8,2014-04-01,0.0,0.0,53.0,33.0,,14546
9,2014-04-01,0.0,0.0,61.0,37.0,47.0,14546
10,2014-04-01,0.0,0.0,60.0,30.0,,14546
11,2014-04-01,0.0,0.0,62.0,36.0,,14546
12,2014-04-02,0.02,0.0,53.0,41.0,45.0,17474
13,2014-04-02,0.01,0.0,49.0,37.0,,17474
14,2014-04-02,0.0,0.0,53.0,41.0,46.0,17474
15,2014-04-02,0.0,0.0,54.0,42.0,,17474
16,2014-04-02,0.03,0.0,48.0,38.0,43.0,17474
17,2014-04-02,0.0,0.0,55.0,36.0,,17474
18,2014-04-02,0.0,0.0,60.0,40.0,,17474
19,2014-04-02,0.0,0.0,50.0,34.0,,17474
20,2014-04-02,0.0,0.0,55.0,40.0,,17474
21,2014-04-02,0.0,0.0,58.0,35.0,,17474
22,2014-04-02,0.0,0.0,62.0,33.0,,17474
23,2014-04-02,0.0,0.0,61.0,33.0,,17474
24,2014-04-03,0.06,0.0,68.0,45.0,,20701
25,2014-04-03,0.0,0.0,51.0,42.0,,20701
26,2014-04-03,0.04,0.0,63.0,40.0,,20701
27,2014-04-03,0.08,0.0,63.0,39.0,49.0,20701
28,2014-04-03,0.03,0.0,56.0,41.0,,20701
29,2014-04-03,0.0,0.0,55.0,39.0,,20701
30,2014-04-03,0.1,0.0,64.0,42.0,52.0,20701
31,2014-04-03,0.0,0.0,55.0,37.0,,20701
32,2014-04-03,0.03,0.0,62.0,37.0,,20701
33,2014-04-03,0.07,0.0,66.0,39.0,,20701
34,2014-04-03,0.07,0.0,64.0,42.0,51.0,20701
35,2014-04-03,0.07,0.0,67.0,46.0,,20701
36,2014-04-04,0.04,0.0,43.0,39.0,,26714
37,2014-04-04,0.19,0.0,47.0,39.0,45.0,26714
38,2014-04-04,0.11,0.0,46.0,38.0,,26714
39,2014-04-04,0.08,0.0,63.0,40.0,,26714
40,2014-04-04,0.25,0.0,47.0,41.0,45.0,26714
41,2014-04-04,0.1,0.0,45.0,41.0,44.0,26714
42,2014-04-04,0.21,0.0,43.0,37.0,,26714
43,2014-04-04,0.16,0.0,66.0,42.0,,26714
44,2014-04-04,0.22,0.0,49.0,41.0,,26714
45,2014-04-04,0.21,0.0,47.0,40.0,,26714
46,2014-04-04,0.09,0.0,65.0,42.0,,26714
47,2014-04-04,0.25,0.0,67.0,47.0,,26714
48,2014-04-05,0.16,0.0,45.0,37.0,,19521
49,2014-04-05,0.24,0.0,47.0,39.0,,19521
50,2014-04-05,0.0,0.0,54.0,39.0,,19521
51,2014-04-05,0.0,0.0,54.0,40.0,,19521
52,2014-04-05,0.0,0.0,57.0,40.0,47.0,19521
53,2014-04-05,0.0,0.0,52.0,37.0,,19521
54,2014-04-05,0.2,0.0,54.0,41.0,,19521
55,2014-04-05,0.0,0.0,54.0,39.0,45.0,19521
56,2014-04-05,0.0,0.0,55.0,40.0,,19521
57,2014-04-05,0.14,0.0,44.0,38.0,,19521
58,2014-04-05,0.0,0.0,57.0,41.0,47.0,19521
59,2014-04-05,0.0,0.0,53.0,38.0,,19521
60,2014-04-06,0.0,0.0,59.0,32.0,,13445
61,2014-04-06,0.0,0.0,62.0,36.0,,13445
62,2014-04-06,0.0,0.0,57.0,37.0,45.0,13445
63,2014-04-06,0.0,0.0,59.0,37.0,45.0,13445
64,2014-04-06,0.0,0.0,61.0,36.0,,13445
65,2014-04-06,0.0,0.0,55.0,33.0,,13445
66,2014-04-06,0.0,0.0,55.0,35.0,,13445
67,2014-04-06,0.0,0.0,62.0,35.0,46.0,13445
68,2014-04-06,0.01,0.0,54.0,33.0,,13445
69,2014-04-06,0.0,0.0,55.0,34.0,,13445
70,2014-04-06,0.0,0.0,56.0,34.0,,13445
71,2014-04-06,0.0,0.0,60.0,32.0,,13445
72,2014-04-07,0.36,0.0,49.0,35.0,,19550
73,2014-04-07,0.66,0.0,53.0,41.0,46.0,19550
74,2014-04-07,0.52,0.0,53.0,43.0,,19550
75,2014-04-07,0.47,0.0,51.0,40.0,46.0,19550
76,2014-04-07,0.0,0.0,61.0,33.0,,19550
77,2014-04-07,0.31,0.0,50.0,35.0,,19550
78,2014-04-07,0.35,0.0,53.0,40.0,,19550
79,2014-04-07,0.0,0.0,60.0,38.0,,19550
80,2014-04-07,0.0,0.0,60.0,34.0,,19550
81,2014-04-07,0.3,0.0,51.0,35.0,,19550
82,2014-04-07,0.0,0.0,61.0,37.0,,19550
